data_structure,null_model,bf
null_both,C2,0.18612464098981352
null_both,A,0.009788020924839443
null_both,B,0.21941227165895988
null_both,C1,0.03416276885347226
null_both,C2,0.28651134709898085
null_both,A,6.76996300249085e-4
null_both,B,0.06449736895316627
null_both,C1,0.011038601083833758
null_both,C2,0.061329899967176
null_both,A,8.145459955938624e-4
null_both,B,0.07718060039067239
null_both,C1,0.010340428109693309
null_both,C2,0.07877294701466876
null_both,A,7.676006004816172e-4
null_both,B,0.0754314098916643
null_both,C1,0.009308106982531195
null_both,C2,0.08246581199831463
null_both,A,0.01922616117807783
null_both,B,0.06904144817052303
null_both,C1,0.44758042772073936
null_both,C2,0.042955768365442654
null_both,A,9.895273386107601e-4
null_both,B,0.060324940736698265
null_both,C1,0.016436347711004745
null_both,C2,0.06020360216328562
null_both,A,4.974753339241488e-4
null_both,B,0.05209740728570214
null_both,C1,0.00979811430623396
null_both,C2,0.05077255871649044
null_both,A,6.787936767973827e-4
null_both,B,0.05214762138033115
null_both,C1,0.013198150734519807
null_both,C2,0.05143096866002565
null_both,A,8.431561400510128e-4
null_both,B,0.0835945917456346
null_both,C1,0.01036726210021606
null_both,C2,0.08132871841191716
null_both,A,0.006290382548999477
null_both,B,0.42607530062941623
null_both,C1,0.011975135652672633
null_both,C2,0.5252869555256836
null_both,A,0.002808206249995838
null_both,B,0.17017665106870822
null_both,C1,0.014149371435178509
null_both,C2,0.19846862193567183
null_both,A,0.0011642992267164264
null_both,B,0.050036710912794276
null_both,C1,0.02633753600710959
null_both,C2,0.044206839485748925
null_both,A,4.410583556240962e-4
null_both,B,0.050335123039710876
null_both,C1,0.009681439232355574
null_both,C2,0.04555710623582389
null_re,A,14933620899623516e78
null_re,B,15571358023574578
null_re,C1,0.008993297106633755
null_re,C2,16605279156860273e80
null_re,A,18335817516168904e74
null_re,B,24030595715533.06
null_re,C1,0.035309963903830954
null_re,C2,5192816839492594e76
null_re,A,11901839772590646e75
null_re,B,104570041406215.42
null_re,C1,0.015483718286136233
null_re,C2,7686680649083786e77
null_re,A,14184174930183613e88
null_re,B,3226971152127509.5
null_re,C1,0.014550651376834603
null_re,C2,974813742893006e91
null_re,A,18910905348463242e73
null_re,B,8473984660595.367
null_re,C1,0.04344146686129811
null_re,C2,4353192172088274e75
null_re,A,3567073840700457e76
null_re,B,44854438589200480
null_re,C1,0.011022991951103024
null_re,C2,3236030522859599e78
null_re,A,6880354758047173e72
null_re,B,330357089531364.44
null_re,C1,0.015121217736243068
null_re,C2,4550132719507203e74
null_re,A,18027166298650234e77
null_re,B,8103586750588.813
null_re,C1,0.0635045193127819
null_re,C2,28387217939340496e78
null_re,A,2854242213445777e76
null_re,B,141680650224267.16
null_re,C1,0.023357321881485312
null_re,C2,12219903582817232e77
null_re,A,21214493542131036e75
null_re,B,78116499631149600
null_re,C1,0.008750543853967868
null_re,C2,24243628620307566e77
null_re,A,3254050600074398e76
null_re,B,751807233455502.5
null_re,C1,0.0142047122853677
null_re,C2,22908247169683107e77
null_re,A,2705154538582922e78
null_re,B,35203892008793340
null_re,C1,0.00906199198206461
null_re,C2,2985165451411713e80
null_re,A,4416399546311074e92
null_re,B,30137066070967584
null_re,C1,0.015589533618487264
null_re,C2,2832926022285767e94
null_re,A,5702954420814609e80
null_re,B,9597287457495208
null_re,C1,0.014980985991885404
null_re,C2,3806795109416368e82
null_re,A,10739358369837e78
null_re,B,4100923726778449
null_re,C1,0.009657739068437426
null_re,C2,11119950843292217e77
null_re,A,7300294577526206e74
null_re,B,28401878992745720
null_re,C1,0.01112110462145722
null_re,C2,6564361028886292e76
null_re,A,11709169410331314e91
null_re,B,70031238313467310
null_re,C1,0.010812035606268193
null_re,C2,10829754762870786e93
null_re,A,25591734981530945e82
null_re,B,5921299528846422
null_re,C1,0.01185891024301608
null_re,C2,2158017428001164e85
null_re,A,26164232096044058e66
null_re,B,275576590067848.88
null_re,C1,0.016329574309879462
null_re,C2,16022605120952096e68
null_re,A,488915090534002e71
null_re,B,20466826349850.246
null_re,C1,0.03274142946982402
null_re,C2,14932612853223413e71
null_re,A,4044151880401306e66
null_re,B,1626072532994170.2
null_re,C1,0.01151126932875101
null_re,C2,35132110672629774e67
null_re,A,2334887838335992e73
null_re,B,27196913566113324
null_re,C1,0.010691497539018123
null_re,C2,21838735217540565e74
null_re,A,10971090123158323e73
null_re,B,18027593177748296
null_re,C1,0.009802406750347579
null_re,C2,11192241255209395e75
null_re,A,15653074209160463e86
null_re,B,986867719694.5619
null_re,C1,0.42329413104766195
null_re,C2,36979190262853386e86
null_re,A,7975083659880032e74
null_re,B,145731023155152.6
null_re,C1,0.01682125970607997
null_re,C2,47410739737866284e75
null_re,A,12855013811766208e76
null_re,B,9326337754513183e3
null_re,C1,0.009397538866582839
null_re,C2,13679128114572798e78
null_re,A,3405642615523207e75
null_re,B,1034570675781432.2
null_re,C1,0.013639893020649966
null_re,C2,24968250193511752e76
null_re,A,8699437352049677e85
null_re,B,19390087713180044
null_re,C1,0.009986225082842404
null_re,C2,8711437284741769e87
null_re,A,18859575355329787e65
null_re,B,1097938453875394.2
null_re,C1,0.011934833591533944
null_re,C2,15802126783491942e67
null_re,A,5830065938399016e78
null_re,B,545563664980278.3
null_re,C1,0.013979009993550996
null_re,C2,4170585714645419e80
null_re,A,4115250683180932e88
null_re,B,111706140514278670
null_re,C1,0.024356268295547157
null_re,C2,1689606401623227e90
null_re,A,551554558663001e81
null_re,B,26922394936587308
null_re,C1,0.009601154696562574
null_re,C2,5744669012160274e82
null_fe,A,7180626307840892e11
null_fe,B,0.035844933957270654
null_fe,C1,9523894083493369e12
null_fe,C2,0.07539590680965486
null_fe,A,616863739358197e12
null_fe,B,0.272324800707318
null_fe,C1,8141340500720266e12
null_fe,C2,0.0757693084208458
null_fe,A,5443244582736015e7
null_fe,B,0.17168645581496705
null_fe,C1,54618971275284626e7
null_fe,C2,0.09965849695889664
null_fe,A,12799183548915215e8
null_fe,B,0.09862863086840508
null_fe,C1,16531442593545783e9
null_fe,C2,0.07742327069455077
