p.value,null_model,data_structure
0.6826814727293966,A,null_both
0.2209456197175465,B,null_both
1,C1,null_both
0.2209456197175465,C2,null_both
0.9906799487076783,A,null_both
0.8844340672844511,B,null_both
0.9568778145151459,C1,null_both
0.8839934511331986,C2,null_both
0.3262977377678632,A,null_both
0.046344832108436915,B,null_both
0.938514977648588,C1,null_both
0.0679967990978539,C2,null_both
0.7502443812034093,A,null_both
0.4578154558616766,B,null_both
0.7499025112697545,C1,null_both
0.42520345656029546,C2,null_both
0.17323893682711333,A,null_both
0.026010355276129903,B,null_both
0.9999998709302046,C1,null_both
0.02563624878612252,C2,null_both
0.7461615721858967,A,null_both
0.2676861797706148,B,null_both
0.9999999999998153,C1,null_both
0.26768617977063147,C2,null_both
0.584565935121746,A,null_both
0.18881826375986438,B,null_both
0.947250100354393,C1,null_both
0.17572024500382868,C2,null_both
0.30976074829148076,A,null_both
0.9062823060206561,B,null_both
0.16840974428465905,C1,null_both
0.8783468276803511,C2,null_both
0.977702629478638,A,null_both
0.6647823833304569,B,null_both
0.9943391287927155,C1,null_both
0.664633708926476,C2,null_both
0.23806095406272257,A,null_both
0.04311397019520507,B,null_both
1,C1,null_both
0.03980662364336676,C2,null_both
0.6173283330461851,A,null_both
0.21213227657416117,B,null_both
0.9213410682825535,C1,null_both
0.20237311605743766,C2,null_both
0.9999999999205258,A,null_both
0.9994665721350637,B,null_both
1,C1,null_both
0.9994665718637047,C2,null_both
0.31345444357029784,A,null_both
0.05939067849893076,B,null_both
0.9991061054817518,C1,null_both
0.05936159814753385,C2,null_both
0.3366167029853808,A,null_both
0.08082196584834309,B,null_both
0.8858425977268634,C1,null_both
0.07649195721603455,C2,null_both
0.7222389681031847,A,null_both
0.32460541753288474,B,null_both
0.9071430339436705,C1,null_both
0.28688710977481574,C2,null_both
0.18733767793675746,A,null_both
0.07096767576985723,B,null_both
0.6188899928789916,C1,null_both
0.050144658247783545,C2,null_both
0.9280966894368993,A,null_both
0.5375647973679988,B,null_both
0.9629000920949146,C1,null_both
0.5365258101272484,C2,null_both
0.055465885280924214,A,null_both
0.26472619277792037,B,null_both
0.07438155529866278,C1,null_both
0.12244070409302367,C2,null_both
0.9998752496366452,A,null_both
0.940533256715083,B,null_both
0.9997623965820416,C1,null_both
0.9405127315678691,C2,null_both
0.2720222884619057,A,null_both
0.293382566201838,B,null_both
0.28724803654316394,C1,null_both
0.23519758024302814,C2,null_both
0.7253968609817965,A,null_both
0.9359292222904506,B,null_both
0.5200956827015554,C1,null_both
0.9275685074515727,C2,null_both
0.3415782017322156,A,null_both
0.2636932532858539,B,null_both
0.44858523320399174,C1,null_both
0.18706359094836023,C2,null_both
0.5953963627888598,A,null_both
0.4733029324579166,B,null_both
0.5214115003118623,C1,null_both
0.443084298890021,C2,null_both
0.7889684026302276,A,null_both
0.400109650440069,B,null_both
0.8950840652543557,C1,null_both
0.36253290457633547,C2,null_both
0.9421613149588317,A,null_both
0.5319430182186028,B,null_both
1,C1,null_both
0.5319430182180656,C2,null_both
0.7011793732278577,A,null_both
0.24623322034583398,B,null_both
0.9980417153529636,C1,null_both
0.23428021046426353,C2,null_both
0.9929964824853974,A,null_both
1,B,null_both
0.9999999999999005,C1,null_both
0.7640287805956378,C2,null_both
0.6946785528701463,A,null_both
0.22909493554275706,B,null_both
0.8647648327036923,C1,null_both
0.28232238574050006,C2,null_both
